time,open,high,low,close,tick_volume,spread,real_volume
2011-05-06 16:00:00,1488.15,1498.1,1483.6,1492.75,2766,50,0
2011-05-06 17:00:00,1492.8,1496.0,1487.6,1489.0,2679,50,0
2011-05-06 18:00:00,1488.3,1490.7,1481.53,1484.2,2813,50,0
2011-05-06 19:00:00,1484.15,1496.2,1484.03,1494.3,1526,50,0
2011-05-06 20:00:00,1494.2,1494.25,1483.05,1488.5,1206,53,0
2011-05-06 21:00:00,1488.4,1493.8,1488.4,1490.5,808,63,0
2011-05-06 22:00:00,1490.6,1495.15,1490.55,1495.0,287,58,0
2011-05-09 01:00:00,1494.25,1496.2,1489.8,1491.3,624,120,0
2011-05-09 02:00:00,1491.4,1494.5,1490.6,1493.45,305,100,0
2011-05-09 03:00:00,1493.5,1494.78,1492.48,1494.1,531,50,0
2011-05-09 04:00:00,1494.2,1496.7,1493.45,1495.2,343,50,0
2011-05-09 05:00:00,1495.1,1498.5,1495.1,1497.5,300,50,0
2011-05-09 06:00:00,1497.6,1504.45,1497.1,1503.05,373,50,0
2011-05-09 07:00:00,1503.08,1504.2,1501.6,1503.88,1008,50,0
2011-05-09 08:00:00,1503.85,1504.2,1500.8,1501.6,974,50,0
2011-05-09 09:00:00,1501.58,1502.7,1500.9,1501.8,843,50,0
2011-05-09 10:00:00,1501.75,1508.5,1501.3,1506.7,1544,50,0
2011-05-09 11:00:00,1506.68,1510.33,1505.79,1508.35,1634,50,0
2011-05-09 12:00:00,1508.3,1509.0,1504.22,1507.22,1775,60,0
2011-05-09 13:00:00,1507.09,1509.6,1505.4,1508.4,1621,52,0
2011-05-09 14:00:00,1508.3,1509.18,1503.58,1504.85,1758,50,0
2011-05-09 15:00:00,1504.85,1505.25,1498.53,1504.0,2473,55,0
2011-05-09 16:00:00,1503.7,1507.9,1500.65,1501.9,2721,50,0
2011-05-09 17:00:00,1501.95,1509.4,1501.3,1509.4,2696,50,0
2011-05-09 18:00:00,1509.3,1509.43,1505.53,1508.18,2068,50,0
2011-05-09 19:00:00,1508.13,1511.1,1505.9,1506.35,1849,60,0
2011-05-09 20:00:00,1506.4,1508.1,1502.7,1507.93,1857,59,0
2011-05-09 21:00:00,1507.88,1511.93,1506.63,1509.13,1621,50,0
